link,likes,comment_counts,dates,captions,type_posts,username
https://www.instagram.com/p/BtStPMjhPJ5/,233243,3063,1548923436,"Ternyata membuat vlog itu sulit ya. Pagi ini saya diajari oleh @goenrock tipe vlog yang cocok untuk saya, dan alat-alat apa saja yang harus dibeli. Terima kasih atas ilmunya, semoga bisa saya aplikasikan segera. Selengkapnya akan muncul di vlogbtp",GraphImage,basukibtp
https://www.instagram.com/p/BtIK1DRB1Kf/,355655,4015,1548569852,"Hari ini bersama mama saya mengunjungi Ibu Meri Hoegeng yang merupakan istri dari Almarhum Hoegeng Iman Santoso, mantan Kapolri 1968 - 1971. • 
Saya baru tahu kalau Pak Hoegeng mempunyai jiwa seni yang tinggi, keluarga memberikan lukisan yang merupakan lukisan karya Pak Hoegeng. Selain itu saya diberikan CD lagu-lagu karya Pak Hoegeng. Bisa untuk saya gunakan latihan bernyanyi.
•
Tunggu selengkapnya nnti ada di Vlog saya",GraphSidecar,basukibtp
https://www.instagram.com/p/BtC_rp3BJQ6/,498499,21945,1548396315,"Vlog BTP #1 - Pulang
.
Link youtube ada di bio",GraphVideo,basukibtp
https://www.instagram.com/p/BtAFO8Hhqpc/,896077,64902,1548298483,Proses administrasi sebelum bebas di Mako Brimob pagi tadi. Merdeka!,GraphSidecar,basukibtp
https://www.instagram.com/p/Bs-q-lPhoti/,455793,20568,1548251163,"Diposting oleh @timbtp •
Besok Tjahaja Pulang (BTP)
•
Jangan lupa subscribe akun youtube BTP. Link ada di bio🔥",GraphImage,basukibtp
https://www.instagram.com/p/Bs94jDehnmp/,195073,1588,1548224723,"Diposting oleh @timbtp
.
Selamat Ulang Tahun Ibu Megawati Soekarnoputri yang ke-72. Semoga Panjang umur, sehat selalu dan selalu dekat dengan wong cilik. Teruslah konsisten untuk menjaga pancasila dan NKRI.
.
#72CitaCintaBuMega",GraphImage,basukibtp
https://www.instagram.com/p/BsxuGmthguW/,146718,2487,1547816594,"Diposting oleh @timbtp •
#10yearschallenge 2009 bersama masyarakat belitung, 2019 belum ada foto terbaru. Coming soon!
•
•
Detik-detik BTP bebas, subscribe dan saksikan di akun youtube “Panggil Saya BTP” di tanggal 24 Januari 2019, link akun youtube ada di bio",GraphImage,basukibtp
https://www.instagram.com/p/BsuxNIphG1T/,304833,12211,1547717557,"Diposting oleh @timbtp •
•
Berikut kami sampaikan surat terbaru dari BTP mengenai niat baik dari seluruh pendukung yang berencana menjemput beliau di Mako Brimob dan pesan lainnya",GraphSidecar,basukibtp
https://www.instagram.com/p/BscIoxihs6a/,168010,1911,1547092308,"Diposting oleh @timbtp .
Selamat #HUT46PDIPSeru Semoga terus menjadi partai yang selalu mempersatukan Indonesia melalui nasionalisme dan selalu berpegang teguh untuk terus membumikan ideologi Pancasila.

Foto : tahun 2016",GraphImage,basukibtp
https://www.instagram.com/p/BsNAE4FhGLi/,124354,2590,1546584503,"Diposting oleh @timbtp
.
.
Simpang Susun Semanggi adalah infrastruktur yang dibangun tanpa menggunakan pembiayaan dari APBN maupun APBD, bukan juga melalui hutang. Tetapi dibangun dengan kompensasi kenaikan koefisien luas bangunan (KLB) . Bagaimana detail mengenai pembangunan jalan yang menggunakan sistem beton pracetak segmental box girder itu?
.
Semua bisa dibaca dalam buku Kebijakan Ahok",GraphImage,basukibtp
