username,avg_total_engagement_june,prediction_avg_total_engagement_july,difference_june_july,category
1milliondance,1.53,1.85,0.32,Growing
_demianaditya_,4.43,4.11,-0.32,Declining
_irishbella_,1.03,1.45,0.42,Growing
aagym,0.47,0.82,0.35,Growing
abellyc,4.26,4.0,-0.26,Declining
abipraya28,16.67,14.99,-1.68,Declining
abqariyyahalilintar,3.94,3.97,0.03,Growing
abunsungkar,10.2,10.08,-0.12,Declining
adiba.knza,16.19,14.43,-1.76,Declining
adidasindonesia,1.23,1.29,0.06,Growing
adindaamiraa,12.21,10.89,-1.32,Declining
adindathomas,4.88,4.54,-0.34,Declining
adipati,6.33,6.65,0.32,Growing
adlyfayruz,0.97,1.52,0.55,Growing
adorableprojects,0.28,0.54,0.26,Growing
adzanabs,2.44,4.29,1.85,Growing
agatha_chelsea,5.93,5.81,-0.12,Declining
aghniapunjabi,5.18,5.08,-0.1,Declining
agnezmo,0.85,1.07,0.22,Growing
agorivalll,11.93,12.17,0.24,Growing
agthpricilla,6.55,6.21,-0.34,Declining
agusyudhoyono,0.72,1.02,0.3,Growing
agvhelmets,0.74,1.18,0.44,Growing
ajengfazhh_,17.22,14.82,-2.4,Declining
aldymldni,3.04,3.45,0.41,Growing
alessia89cestaro,2.16,2.18,0.02,Growing
alfysaga,5.93,6.15,0.22,Growing
alghazali7,0.71,1.1,0.39,Growing
alhabib.ali,0.92,1.01,0.09,Growing
alicenorin,1.55,1.86,0.31,Growing
alif.rizq,1.34,1.49,0.15,Growing
alisyakieb,3.42,3.38,-0.04,Declining
allkdrama,1.43,1.53,0.1,Growing
alodokter_id,0.2,0.49,0.29,Growing
altynbekova_20,9.01,8.35,-0.66,Declining
alvin_411,3.14,4.39,1.25,Growing
alwiassegaf03,5.59,5.48,-0.11,Declining
amandarawles,4.96,5.11,0.15,Growing
amelcarla,1.96,2.18,0.22,Growing
ammarzoni,0.53,1.06,0.53,Growing
andiarsyil,3.03,2.87,-0.16,Declining
andikvermansah,9.89,8.17,-1.72,Declining
andovidalopez,4.04,3.52,-0.52,Declining
andreadianbimo,3.75,4.79,1.04,Growing
andreastaulany,0.98,1.37,0.39,Growing
angelagilsha,3.06,3.07,0.01,Growing
angelalee87,2.94,3.28,0.34,Growing
angellelga,0.14,0.58,0.44,Growing
anggacandraaa,2.83,3.07,0.24,Growing
anggaptrh,2.67,2.84,0.17,Growing
anggun_cipta,0.64,0.78,0.14,Growing
aniyudhoyono,0.7,1.3,0.6,Growing
anjasmara,0.99,1.11,0.12,Growing
ankitbathla10,0.74,1.11,0.37,Growing
annaladaina,1.76,1.76,0.0,Declining
annemarie,6.51,5.9,-0.61,Declining
anneth.dlc,7.05,7.26,0.21,Growing
annisayudhoyono,0.95,1.17,0.22,Growing
anri_okita,3.48,3.5,0.02,Growing
antontanjung,1.15,1.36,0.21,Growing
apriljasmine85,0.38,0.58,0.2,Growing
arafahrianti,8.4,8.79,0.39,Growing
aremafcofficial,1.63,1.69,0.06,Growing
ari_lasso,0.89,1.13,0.24,Growing
ariefmuhammad,8.26,8.22,-0.04,Declining
arieltatum,1.05,1.77,0.72,Growing
arifmuhammaddd_,3.04,3.94,0.9,Growing
ariirhamm,12.41,10.24,-2.17,Declining
ariwibowo_official,0.42,0.69,0.27,Growing
armandmaulana04,0.53,0.69,0.16,Growing
arnoldleonard05,5.04,5.18,0.14,Growing
arnoldpo,2.75,3.15,0.4,Growing
aronashab,8.05,8.01,-0.04,Declining
aruanmarsha,1.68,1.97,0.29,Growing
asad.motawh,3.06,3.28,0.22,Growing
