username,following,post,followers
princessyahrini,649,4769,33500000
laudyacynthiabella,911,2588,31500000
gisel_la,361,8553,28800000
lunamaya,695,3412,27500000
natashawilona12,555,854,27100000
ashanty_ash,695,8412,24000000
chelseaoliviaa,726,2961,23600000
inijedar,274,3255,23400000
agnezmo,85,2964,22200000
ivan_gunawan,174,16900,22000000
sandradewi88,471,5565,18700000
bramastavrl,350,1045,18100000
jscmila,406,1692,17500000
gadiiing,924,10200,16800000
bclsinclair,961,4807,15500000
aurelie.hermansyah,866,1777,15700000
juliaperrezz,641,8757,14700000
dagelan,538,50100,14700000
nissa_sabyan,907,250,15300000
alghazali7,810,1163,14000000
attahalilintar,48,2096,13900000
_irishbella_,2,336,13600000
pevpearce,806,953,13100000
aliandooo,497,1158,12800000
ridwankamil,109,6598,12500000
okisetianadewi,996,5255,12400000
cita_citata,487,2878,12300000
salshabillaadr,304,1581,12100000
maudyayunda,815,1824,12000000
isdadahlia,556,3722,11800000
glennalinskie,579,3894,10700000
iqbaal.e,784,157,10600000
aurakasih,2,2081,10500000
mrsayudewi,575,4944,10400000
audimarissa,653,987,10200000
citraciki,992,2171,10400000
itsrossa910,89,5661,10200000
hitocaesar,465,1194,9900000
nianaguerrero,956,918,9600000
jessica.syj,6,831,9300000
syifahadjureal,587,351,9200000
chelseaislan,5,876,8900000
redvelvet.smtown,6,2078,8900000
ngakakkocak,5,76500,8400000
smtown,95,1887,8800000
cassandraslee,956,1459,8600000
rizkyfbian,140,2344,8300000
michelleziu,256,1049,8400000
dennycagur,746,2808,8300000
tiffanyyoungofficial,978,301,8199999
claurakiehl,278,1086,7500000
arieltatum,94,264,7400000
weareone.exo,2,1315,7500000
punpun_sutatta,935,2463,7400000
megandomani1410,674,680,7100000
ammarzoni,2,426,7000000
mastercorbuzier,470,4497,7100000
yukikt,369,1446,6900000
therealdisastr,320,5681,6800000
febbyrastanty,273,1099,6800000
ralineshah,833,4249,6600000
aniyudhoyono,7,3679,6500000
stefannwilliam,203,667,6500000
bts_v,18,4645,6200000
annemarie,607,255,6200000
miktambayong,885,820,6100000
rantymaria,606,427,6200000
rayanurfitrird,379,686,6100000
shandyaulia,524,4392,6000000
jessnolimit,145,366,6000000
realmobilelegendsid,10,4140,6200000
mrssharena,193,4890,5900000
bebytsabina,835,973,5800000
aagym,62,2788,5700000
nellakharisma,444,1758,5800000
maell_lee,281,372,5700000
koreadispatch,6,33900,5300000
donitabhubiy,785,2169,5300000
sitibadriahh,391,1594,5200000
marshanda99,808,1886,5100000
saaihalilintar,350,1026,5300000
bt21_official,6,1076,5300000
alfysaga,760,786,5000000
brisiajodie96,627,504,5000000
genhalilintar,13,1438,5000000
manurios,195,288,5100000
krisdayantilemos,944,3819,4900000
gilangdirga,998,1187,4800000
rachelvennya,891,1193,4900000
randymartinnn,680,1215,4900000
woodyandkleiny,300,616,4700000
felixsiauw,397,2979,4700000
ferdinan_sule,975,1666,4700000
shopee_id,22,8379,4800000
seanfreestyle,516,4468,4400000
ranzkyle,737,3250,4500000
indo_psikologi,26,40500,4400000
arbaniyasiz,116,1371,4300000
meme.comik.indonesia,309,3060,4400000
tasyakamila,256,1620,4300000
ersyaurel,946,256,4300000
lalamarionmj,698,1007,4500000
persib_official,87,8449,4200000
meowed,11,6223,4099999
basukibtp,14,888,4000000
ochi24,661,679,4200000
sarahvilo.id,263,1140,4300000
ryana_dea,678,831,4000000
nct_dream,3,1285,4200000
tahilalats,527,2195,4000000
syakirdaulay,199,1112,4099999
mejiwoo103,41,4452,4200000
