username,ranking_beauty,category,username_2
@raffinagita1717,1,['Entertainment'],raffinagita1717
@princessyahrini,2,['Singer'],princessyahrini
@laudyacynthiabella,3,"['Music of Asia', 'Singer', 'Film, Music & Books', 'Technology']",laudyacynthiabella
@gisel_la,4,"['Music of Asia', 'Singer']",gisel_la
@lunamaya,5,['Actors'],lunamaya
@natashawilona12,6,"['Fashion', 'Beauty', 'Modeling', 'Cars & Motorcycles', 'Technology', 'Film, Music & Books', 'Celebrities', 'Photography']",natashawilona12
@ashanty_ash,7,['Singer'],ashanty_ash
@chelseaoliviaa,8,"['Fashion', 'Celebrities', 'Singer']",chelseaoliviaa
@inijedar,9,['Actors'],inijedar
@agnezmo,10,"['Modeling', 'Singer', 'Entertainment']",agnezmo
@ivan_gunawan,11,[],ivan_gunawan
@sandradewi88,12,"['Modeling', 'Technology', 'Cars & Motorcycles']",sandradewi88
@bramastavrl,13,"['Lifestyle', 'Actors']",bramastavrl
@jscmila,14,"['Fashion', 'Modeling', 'Travel']",jscmila
@gadiiing,15,['TV Host'],gadiiing
@ollaramlanaufar,16,['Modeling'],ollaramlanaufar
@bclsinclair,17,"['Modeling', 'Fashion', 'Singer']",bclsinclair
@aurelie.hermansyah,18,"['Product', 'Modeling', 'Beauty']",aurelie.hermansyah
@juliaperrezz,19,"['Actors', 'Technology', 'Cars & Motorcycles', 'Photography', 'Film, Music & Books']",juliaperrezz
@dagelan,20,"['Humor', 'Photography', 'Nature & Outdoors']",dagelan
@nissa_sabyan,21,['Singer'],nissa_sabyan
@alghazali7,22,"['Lifestyle', 'DJ']",alghazali7
@attahalilintar,23,"['Producers', 'Cars & Motorcycles', 'Celebrities', 'Technology', 'Education', 'Film, Music & Books']",attahalilintar
@_irishbella_,24,['Actors'],_irishbella_
@pevpearce,25,"['Fashion', 'Actors', 'Beauty']",pevpearce
@aliandooo,26,"['Actors', 'Music', 'Singer']",aliandooo
@ridwankamil,27,['Architecture'],ridwankamil
@okisetianadewi,28,['Actors'],okisetianadewi
@cita_citata,29,"['Actors', 'Technology', 'Film, Music & Books', 'Photography', 'Travel']",cita_citata
@salshabillaadr,30,"['Actors', 'Music', 'Singer']",salshabillaadr
@maudyayunda,31,['Singer'],maudyayunda
@isdadahlia,32,"['Modeling', 'Singer', 'Photography']",isdadahlia
@glennalinskie,33,['Actors'],glennalinskie
@titi_kamall,34,"['Actors', 'Travel', 'Lifestyle', 'Celebrities', 'Fashion']",titi_kamall
@iqbaal.e,35,"['Actors', 'Film, Music & Books', 'Celebrities']",iqbaal.e
@zyxzjs,36,"['Music', 'Singer', 'Modeling']",zyxzjs
@aurakasih,37,"['Fashion', 'Singer', 'Modeling', 'Technology', 'Film, Music & Books', 'Photography', 'Architecture', 'Cars & Motorcycles']",aurakasih
@mrsayudewi,38,"['Photography', 'Travel']",mrsayudewi
@audimarissa,39,"['Actors', 'Technology', 'Film, Music & Books', 'Photography', 'Cars & Motorcycles', 'Celebrities']",audimarissa
@citraciki,40,['Actors'],citraciki
@itsrossa910,41,"['Modeling', 'Technology', 'Film, Music & Books', 'Cars & Motorcycles', 'Celebrities']",itsrossa910
@hitocaesar,42,['Lifestyle'],hitocaesar
@nianaguerrero,43,"['Music', 'Singer', 'Songwriting']",nianaguerrero
@jessica.syj,44,"['Fashion', 'Lifestyle', 'Modeling']",jessica.syj
@syifahadjureal,45,['Modeling'],syifahadjureal
@chelseaislan,46,"['Lifestyle', 'Actors']",chelseaislan
@redvelvet.smtown,47,"['Music of Asia', 'Styling', 'Fashion']",redvelvet.smtown
@ngakakkocak,48,['Entertainment'],ngakakkocak
@smtown,49,['Singer'],smtown
@cassandraslee,50,"['Business', 'Shopping', 'Beauty']",cassandraslee
@rizkyfbian,51,['Events'],rizkyfbian
@michelleziu,52,"['Business', 'Product', 'Photography', 'Technology', 'Celebrities', 'Cars & Motorcycles']",michelleziu
@dennycagur,53,['Actors'],dennycagur
@tiffanyyoungofficial,54,"['Photography', 'Fashion', 'Modeling']",tiffanyyoungofficial
@ustadzabdulsomad,55,['Religion'],ustadzabdulsomad
@claurakiehl,56,"['Fashion', 'Modeling', 'Singer']",claurakiehl
@arieltatum,57,"['Actors', 'Photography', 'Modeling', 'Cars & Motorcycles', 'Technology', 'Celebrities', 'Humor']",arieltatum
@weareone.exo,58,"['Singer', 'Band']",weareone.exo
@punpun_sutatta,59,"['Fashion', 'Modeling', 'Fitness', 'Design', 'Celebrities', 'Animals & Pets']",punpun_sutatta
@songjoongkionly,60,['Actors'],songjoongkionly
@megandomani1410,61,"['Business', 'Photography', 'Fashion']",megandomani1410
@ammarzoni,62,['Actors'],ammarzoni
@mastercorbuzier,63,['Mixed martial arts'],mastercorbuzier
@yukikt,64,['Actors'],yukikt
@therealdisastr,65,['Modeling'],therealdisastr
@febbyrastanty,66,"['Singer', 'Technology', 'Film, Music & Books', 'Photography', 'Cars & Motorcycles']",febbyrastanty
@ralineshah,67,['Actors'],ralineshah
@aniyudhoyono,68,['Politics'],aniyudhoyono
@wowfakta,69,['News&Politics'],wowfakta
@stefannwilliam,70,['Actors'],stefannwilliam
@bts_v,71,['Fan Pages'],bts_v
@annemarie,72,"['Singer', 'Music', 'Band']",annemarie
@miktambayong,73,"['Actors', 'Technology', 'Cars & Motorcycles', 'Photography']",miktambayong
@rantymaria,74,"['Actors', 'Travel', 'Photography', 'Technology', 'Cars & Motorcycles']",rantymaria
@rayanurfitrird,75,['Video Blogger'],rayanurfitrird
@shandyaulia,76,['Actors'],shandyaulia
@da2_rizki123,77,['Band'],da2_rizki123
@jessnolimit,78,['Video Blogger'],jessnolimit
@realmobilelegendsid,79,['Toys'],realmobilelegendsid
@mrssharena,80,"['Actors', 'Beauty', 'Moms']",mrssharena
@bebytsabina,81,"['Business', 'Music', 'Beauty']",bebytsabina
@aagym,82,['Speaker'],aagym
@nellakharisma,83,['Singer'],nellakharisma
@maell_lee,84,['Video Blogger'],maell_lee
@awkarin,85,"['Singer', 'Technology', 'Cars & Motorcycles', 'Film, Music & Books', 'Photography']",awkarin
@koreadispatch,86,[],koreadispatch
@donitabhubiy,87,['Moms'],donitabhubiy
@sitibadriahh,88,['Singer'],sitibadriahh
@marshanda99,89,"['Business', 'Modeling', 'Music']",marshanda99
@saaihalilintar,90,['Business'],saaihalilintar
@bt21_official,91,['Music'],bt21_official
@alfysaga,92,['Video Blogger'],alfysaga
@brisiajodie96,93,['Singer'],brisiajodie96
@genhalilintar,94,['Music'],genhalilintar
@manurios,95,"['Music', 'Singer', 'Dance']",manurios
@krisdayantilemos,96,['Singer'],krisdayantilemos
@gilangdirga,97,['Producers'],gilangdirga
@rachelvennya,98,"['Children', 'Moms', 'Technology', 'Health & Fitness', 'Food & Drink', 'Architecture', 'Celebrities']",rachelvennya
@randymartinnn,99,"['Actors', 'Music', 'Singer', 'Cars & Motorcycles', 'Celebrities', 'Humor', 'Technology', 'Film, Music & Books']",randymartinnn
@alafasy,100,['Speaker'],alafasy
@woodyandkleiny,101,['Lifestyle'],woodyandkleiny
@felixsiauw,102,['Religion'],felixsiauw
@ferdinan_sule,103,['Cars'],ferdinan_sule
@shopee_id,104,[],shopee_id
@jefrinichol,105,['Actors'],jefrinichol
@afgansyah.reza,106,['Music'],afgansyah.reza
@seanfreestyle,107,"['Soccer', 'Game', 'Photography', 'Technology', 'Celebrities', 'Humor']",seanfreestyle
@ranzkyle,108,"['Music', 'Dance', 'Choreographer']",ranzkyle
@indo_psikologi,109,['Psychology'],indo_psikologi
@arbaniyasiz,110,['Actors'],arbaniyasiz
@meme.comik.indonesia,111,['Humor'],meme.comik.indonesia
@da2_ridho,112,"['Singer', 'Celebrities', 'Technology', 'Cars & Motorcycles']",da2_ridho
@tasyakamila,113,"['Actors', 'Technology', 'Film, Music & Books', 'Celebrities']",tasyakamila
@ersyaurel,114,"['Actors', 'Travel', 'Modeling']",ersyaurel
@lalamarionmj,115,['Singer'],lalamarionmj
@persib_official,116,['Soccer'],persib_official
@anisarahma_12,117,['Actors'],anisarahma_12
@anyageraldine,118,['Singer'],anyageraldine
@meowed,119,"['Pets', 'Cats']",meowed
@basukibtp,120,['Politics'],basukibtp
@ochi24,121,"['Music', 'Photography', 'Beauty']",ochi24
@sarahvilo.id,122,['Video Blogger'],sarahvilo.id
@ryana_dea,123,"['Actors', 'Technology', 'Film, Music & Books', 'Art']",ryana_dea
@nct_dream,124,['Singer'],nct_dream
@tahilalats,125,['Entertainment'],tahilalats
@syakirdaulay,126,"['Actors', 'Celebrities', 'Cars & Motorcycles', 'Technology', 'Photography']",syakirdaulay
@mejiwoo103,127,['Fashion'],mejiwoo103
@indozone.id,128,['News&Politics'],indozone.id
@awreceh.id,129,['Humor'],awreceh.id
@dindahw,130,"['Celebrities', 'Technology', 'Film, Music & Books', 'Cars & Motorcycles']",dindahw
@wulanguritno,131,"['Modeling', 'Technology']",wulanguritno
@ellagross,132,"['Moms', 'Modeling', 'Fashion']",ellagross
@annisayudhoyono,133,"['Founder', 'Modeling', 'Celebrities']",annisayudhoyono
@bryandomani_bd_,134,['Singer'],bryandomani_bd_
@tasyafarasya,135,['Beauty'],tasyafarasya
@chand_kelvin,136,"['Actors', 'Architecture', 'Celebrities', 'Design']",chand_kelvin
@melaney_ricardo,137,['Business'],melaney_ricardo
@bank_thiti,138,['Actors'],bank_thiti
@beraniberhijrah,139,['Entertainment'],beraniberhijrah
@dalang.pelo,140,['Comics'],dalang.pelo
@teukuwisnu,141,"['Actors', 'Technology']",teukuwisnu
@muzammilhb,142,['Architecture'],muzammilhb
@indovidgram,143,['Events'],indovidgram
@vinogbastian__,144,['Actors'],vinogbastian__
@devdanendra,145,['Singer'],devdanendra
@billydavidson_,146,[],billydavidson_
@shinee,147,"['Band', 'Music']",shinee
@paula_verhoeven,148,"['Modeling', 'Fashion']",paula_verhoeven
@wannaone.official,149,['Events'],wannaone.official
@infobmkg,150,[],infobmkg
@celine_evangelista,151,['Actors'],celine_evangelista
@freefirebgid,152,[],freefirebgid
@rapyourbae,153,"['Video Blogger', 'Photography', 'Technology', 'Cars & Motorcycles']",rapyourbae
@michellejoan_,154,"['Actors', 'Technology', 'Photography']",michellejoan_
@brianimanuel,155,"['Singer', 'Music', 'Songwriting']",brianimanuel
@boywilliam17,156,['Actors'],boywilliam17
@test_psikologi,157,[],test_psikologi
@bilsky16,158,['Actors'],bilsky16
@bts.bighitofical,159,"['Art', 'Music', 'Modeling']",bts.bighitofical
@natasharizkynew,160,"['Actors', 'Photography', 'Technology', 'Film, Music & Books']",natasharizkynew
@ariirhamm,161,"['Music', 'Cars & Motorcycles', 'Technology', 'Celebrities', 'Film, Music & Books', 'Humor']",ariirhamm
@naymirdad,162,"['Actors', 'Technology', 'Celebrities']",naymirdad
@fiersabesari,163,['Singer'],fiersabesari
@dylandpros,164,['Video Blogger'],dylandpros
@marioteguh,165,"['Speaker', 'Technology', 'Film, Music & Books', 'Cars & Motorcycles', 'Celebrities']",marioteguh
@sajidahhalilintar,166,['Video Blogger'],sajidahhalilintar
@liga1match,167,['Sports'],liga1match
@m1keangelo,168,"['Singer', 'Music', 'Actors']",m1keangelo
@rahasiagadis,169,['Beauty'],rahasiagadis
@kevinjulio1993,170,['Actors'],kevinjulio1993
@syekh.alijaber,171,['Speaker'],syekh.alijaber
@riomotret,172,['Photography'],riomotret
@infia_fact,173,['News&Politics'],infia_fact
@xolovelyayana,174,['Modeling'],xolovelyayana
@ifanseventeen,175,[],ifanseventeen
@gritteagathaa,176,"['Actors', 'Cars & Motorcycles', 'Technology', 'Humor', 'Celebrities', 'Film, Music & Books']",gritteagathaa
@agusyudhoyono,177,['Politics'],agusyudhoyono
@bts.suga,178,"['Art', 'Beauty']",bts.suga
@sohwahalilintar,179,['Video Blogger'],sohwahalilintar
@rklopperr,180,"['Actors', 'Lifestyle', 'Beauty']",rklopperr
@buyayahya_albahjah,181,[],buyayahya_albahjah
@wayvofficial,182,['Modeling'],wayvofficial
@kimbrlyryder,183,"['Travel', 'Actors', 'Photography']",kimbrlyryder
@dj_kattybutterfly36,184,['Artists'],dj_kattybutterfly36
@mytrip_myadvntr,185,['TV Shows'],mytrip_myadvntr
